"","county_name","state_fips","X","combined_fips","votes_dem_2016","votes_gop_2016","total_votes_2016","per_dem_2016","per_gop_2016","diff_2016","per_point_diff_2016","state_abbr","FIPS","total_votes_2012","votes_dem_2012","votes_gop_2012","county_fips","per_dem_2012","per_gop_2012","diff_2012","per_point_diff_2012","puregrowth","pergrowth","margingrowth","ToOtherState","Owner","manufacture_r","active_r","highschool_r","Manufacture","X65to74","White","MedianIncome","SameHouse","State","Management","Black","Unemployed","Hispanic","white_r","MedianAge","NotInLabor","CountyFIPS.x","Bachelor","univ_r","homeowner_r","BornInState","FromOtherCounty","Population","unemp_r","management_r","Foodstamp","FromOtherState","hisp_r","ToOtherCounty","Tenure","Agriculture","Labor","X18to24","agriculture_r","HighSchool","CountyState","black_r","homegrown","same_house","move_in","move_out","youth","elder","FromOtherCounty10","ToOtherState10","highschool_r10","X65to74_10","HighSchool10","CountyFIPS.y","Black10","Population10","black_r10","State10","BornInState10","Agriculture10","Management10","MedianAge10","Tenure10","hisp_r10","Bachelor10","SameHouse10","Hispanic10","White10","ToOtherCounty10","univ_r10","CountyState10","Owner10","MedianIncome10","homeowner_r10","FromOtherState10","Manufacture10","white_r10","X18to24_10","Foodstamp10","homegrown10","same_house10","move_in10","move_out10","youth10","elder10","pop_growth","income_growth"
"165","Bedford County",51,2815,51019,9733,30578,42186,0.230716351396198,0.724837623856256,20845,-0.494121272460058,"VA",51019,40750,10925,29281,19,0.268098159509202,0.718552147239264,18356,-0.450453987730061,1297,0.00628547661699186,0.0436672847299965,1061,24628,0.135092096183449,0.498340100784319,0.233655613898184,5090,8302,66995,27855,67948,"Virginia",12122,5257,2531,1387,0.886095202825135,44.9,21419,19,14251,0.188487838427659,0.817608392537016,48858,3263,75607,0.0334757363736162,0.321726206274218,13,871,0.0183448622482045,2885,30122,347,37678,5437,0.00920961834492277,17666,"Bedford County, Virginia",0.0695305990186094,0.646210007009933,0.898699855833455,0.0546774769531922,0.0521909347018133,0.0719113309614189,0.109804647717804,2982,925,0.23207823094081,6257,15711,19,3798,67697,0.0561029292287694,"Virginia",45705,326,11465,43.2,27150,0.0157023206345924,11567,60695,1063,61224,2320,0.170864292361552,"Bedford County, Virginia",22933,27018,0.844677716390424,1023,5237,0.90438276437656,4437,7,0.675140700474172,0.896568533317577,0.0591606718170672,0.0479341772899833,0.0655420476535149,0.0924265477052159,0.116844173301623,0.030979347101932
"215","Bland County",51,2816,51021,453,2572,3124,0.145006402048656,0.823303457106274,2119,-0.678297055057619,"VA",51021,2937,735,2144,21,0.250255362614913,0.729996595165134,1409,-0.479741232550221,428,0.0933068619411396,0.198555822507397,53,2078,0.14339908952959,0.391853723799613,0.291809127397057,378,748,6382,21965,5923,"Virginia",732,302,191,27,0.94871413705961,44.3,2032,21,733,0.108963876913929,0.802006947124662,3819,464,6727,0.0283930429612011,0.277693474962064,0,87,0.00401367623011744,206,2591,71,2636,432,0.0269347496206373,1963,"Bland County, Virginia",0.0448937119072395,0.567712204548833,0.880481641147614,0.0819087260294336,0.0385015608740895,0.064218819681879,0.111193697041772,241,0,0.304379455841699,781,2092,21,198,6873,0.0288083806198167,"Virginia",3672,71,698,44.6,2580,0.00305543430816237,621,6280,21,6544,98,0.0903535573985159,"Bland County, Virginia",2189,21535,0.848449612403101,80,468,0.952131529172123,461,0,0.534264513312964,0.913720355012367,0.0467044958533392,0.0142586934380911,0.067074057907755,0.113633056889277,-0.0212425432853194,0.0199674947759461
"239","Botetourt County",51,2817,51023,4492,13369,18641,0.240974196663269,0.717182554583982,8877,-0.476208357920712,"VA",51023,18208,5449,12471,23,0.299264059753954,0.684918717047452,7022,-0.385654657293497,898,0.0322638375365298,0.090553700627215,287,11366,0.119438638399522,0.505814831596436,0.25210693248754,2000,3654,30959,28781,30533,"Virginia",6121,1242,847,429,0.935175955293762,46.1,9064,23,6048,0.182691436338922,0.883344991062408,22803,1258,33105,0.0255852590243166,0.365541952821738,0,344,0.0129587675577707,1255,12867,337,16745,2261,0.0201254105703195,8346,"Botetourt County, Virginia",0.0375169913910285,0.688808337109198,0.922307808488144,0.0483914816492977,0.0465790666062528,0.068297840205407,0.110376076121432,1261,271,0.255210393403718,3031,8388,23,1246,32867,0.0379103660206286,"Virginia",23010,398,5806,43.6,12918,0.0115617488666444,5361,29840,380,30926,1719,0.163111935984422,"Botetourt County, Virginia",11264,29359,0.871961603963462,212,2127,0.940943803815377,2085,0,0.700094319530228,0.907901542580704,0.044816989685703,0.0605470532753217,0.0634374904919828,0.0922201600389448,0.00724130586910883,-0.0196873190503764
"268","Bristol city",51,2818,51520,1832,4884,6966,0.262991673844387,0.701119724375538,3052,-0.438128050531151,"VA",51520,7356,2487,4776,520,0.338091353996737,0.64926590538336,2289,-0.311174551386623,108,0.0518538189921779,0.126953499144528,1416,4292,0.0956585724797645,0.463427109974425,0.240068201193521,780,1728,15680,18838,13461,"Virginia",2098,1169,893,123,0.891162262006252,41.6,5664,520,2534,0.144018186984939,0.552807831014941,7839,1315,17595,0.0507530548451265,0.257297032131469,24,1199,0.00699062233589088,588,7764,55,8154,1553,0.00674515575177827,4224,"Bristol city, Virginia",0.0664393293549304,0.445524296675192,0.765046888320546,0.142881500426257,0.113895993179881,0.0882637112816141,0.0982097186700767,1506,865,0.210009037505648,1692,3718,520,1212,17704,0.0684591052869408,"Virginia",7327,161,2036,41,7948,0.00423633077270673,2456,13909,75,16080,419,0.13872571170357,"Bristol city, Virginia",4909,18777,0.617639657775541,1440,1143,0.908269317668324,1547,0,0.413861274288296,0.785641662901039,0.16640307275192,0.0725259828287393,0.0873813827383642,0.0955716222322639,-0.00615680072300045,0.0032486552697449
"291","Brunswick County",51,2819,51025,4473,3045,7645,0.585088293001962,0.398299542184434,1428,0.186788750817528,"VA",51025,8029,4993,2965,25,0.621870718644912,0.369286337028273,2028,0.25258438161664,80,0.0290132051561617,0.0657956307991118,163,4335,0.0691022373265364,0.416366959495313,0.240964565768528,488,1677,6880,17603,15173,"Virginia",1596,9564,698,316,0.40563646011438,41.6,5059,25,1612,0.0950415659454042,0.739130434782609,12745,785,16961,0.0411532338895112,0.225998300764656,0,126,0.018630976947114,819,5865,136,7062,1722,0.0192580005664118,4087,"Brunswick County, Virginia",0.563881846589234,0.751429750604328,0.894581687400507,0.053711455692471,0.0578975296267909,0.10152703260421,0.0988738871528801,902,457,0.226351160557971,1588,4008,25,10412,17707,0.58801603885469,"Virginia",13614,209,1399,40,6086,0.00519568532218896,1472,16053,92,7109,870,0.0831309651550234,"Brunswick County, Virginia",4263,18216,0.700460072297075,154,784,0.401479640820015,1822,0,0.76884847800305,0.906590613881516,0.0596374315242559,0.07494211328853,0.102897159315525,0.0896820466482182,-0.0421302309820975,-0.0336517347386913
"296","Buchanan County",51,2820,51027,1721,7292,9220,0.186659436008677,0.790889370932755,5571,-0.604229934924078,"VA",51027,9636,3094,6436,27,0.321087588210876,0.66791199667912,3342,-0.346824408468244,856,0.122977374253635,0.257405526455834,456,7576,0.0514441552001983,0.34062407634168,0.257864290841532,415,2623,22681,17585,21959,"Virginia",1674,549,840,106,0.957691170882067,45.3,10509,27,1522,0.0642655069036862,0.805443334042101,18767,287,23683,0.0354684795000633,0.207512086277427,0,212,0.00447578431786514,775,9406,1286,8067,1803,0.159414900210735,6107,"Buchanan County, Virginia",0.0231811848161128,0.792424946163915,0.927205168264156,0.0210699657982519,0.0519782122197357,0.0761305577840645,0.110754549676983,86,347,0.233002166891533,2395,5699,27,492,24459,0.0201152949834417,"Virginia",19722,1206,1709,42.6,9123,0.00163538983605217,1601,22535,40,23552,639,0.0654564781879881,"Buchanan County, Virginia",7254,16290,0.795133179875041,509,418,0.962917535467517,1652,0,0.806328958665522,0.921337748885891,0.024326423811276,0.040312359458686,0.0675416002289546,0.0979189664336236,-0.0317265628194121,0.0794966236955187
"297","Buckingham County",51,2821,51029,3128,3969,7284,0.42943437671609,0.544892915980231,841,-0.115458539264141,"VA",51029,7447,3747,3569,29,0.503155633140862,0.479253390627098,178,0.0239022425137639,400,0.0656395253531324,0.139360781777904,237,4431,0.032619926199262,0.396848641049672,0.293873008434864,221,1581,10435,21432,15344,"Virginia",1542,5917,725,334,0.611234770384255,42.3,4387,29,1382,0.0809512652296158,0.763702171664943,13330,741,17072,0.0424671977507029,0.22760147601476,0,75,0.01956419868791,843,5802,413,6775,1412,0.0609594095940959,5017,"Buckingham County, Virginia",0.346590909090909,0.7808106841612,0.898781630740394,0.0477975632614808,0.063261480787254,0.0827085285848172,0.092607778819119,1584,333,0.29062462960768,1399,4904,29,6278,16874,0.372051677136423,"Virginia",12191,169,1017,43.4,4859,0.0072300580775157,1714,14249,122,10283,747,0.101576389711983,"Buckingham County, Virginia",3632,20675,0.747478905124511,277,276,0.60939907550077,703,0,0.722472442811426,0.844435225791158,0.110288017067678,0.0640037928173521,0.0416617281024061,0.0829086168069219,0.0117340286831812,0.0366142684401451
"299","Buena Vista city",51,2822,51530,693,1432,2395,0.289352818371608,0.597912317327766,739,-0.308559498956159,"VA",51530,2526,919,1564,530,0.36381631037213,0.619160728424386,645,-0.255344418052257,-132,-0.0212484110966202,0.0532150809039021,122,1757,0.205354330708661,0.47508603920395,0.236420769115667,652,677,5953,20003,5342,"Virginia",506,213,238,52,0.890767619332635,37.2,2047,530,582,0.087086637737543,0.641006931776724,4573,311,6683,0.0356127487655245,0.159370078740157,0,299,0.00778093670507257,250,2741,0,3175,1126,0,1580,"Buena Vista city, Virginia",0.0318719138111627,0.684273529851863,0.799341613048032,0.0912763728864282,0.0556636241209038,0.168487206344456,0.101301810564118,683,14,0.220802645423117,660,1469,530,400,6653,0.0601232526679693,"Virginia",4989,65,891,38.5,2693,0.00886817976852548,706,5053,59,6044,165,0.106117540958966,"Buena Vista city, Virginia",1745,20226,0.64797623468251,180,668,0.908462347813017,946,0,0.749887268901248,0.759506989328123,0.129715917631144,0.0269051555689163,0.142191492559747,0.0992033669021494,0.0045092439500977,-0.0110254128349649
"372","Campbell County",51,2823,51031,6597,19442,27218,0.242376368579616,0.71430670879565,12845,-0.471930340216034,"VA",51031,25632,7591,17687,31,0.296153245942572,0.690035892634207,10096,-0.393882646691635,1755,0.0242708161614427,0.0780476935243981,545,16761,0.164797496180931,0.489468021082195,0.251436178943337,4423,5530,44311,24707,48727,"Virginia",8353,7542,1690,1039,0.80810825597724,42.3,16071,31,7220,0.131672532963726,0.771400957290133,40851,2840,54833,0.0308208560538362,0.311226200678118,17,592,0.0189484434555833,4205,21728,229,26839,5087,0.00853235962591751,13787,"Campbell County, Virginia",0.137544909087593,0.745007568435066,0.888643699961702,0.0625900461400981,0.0866266664235041,0.0927726004413401,0.10085167690989,2859,1013,0.243862369402296,4747,13211,31,7593,54174,0.140159486100343,"Virginia",39458,321,7746,40.4,22005,0.0173884151068778,6038,47255,942,44138,2808,0.111455679846421,"Campbell County, Virginia",16657,22789,0.75696432628948,899,5201,0.814745080666002,5246,0,0.728356776313361,0.872281906449588,0.0693690700335955,0.0705319895152656,0.0968361206482815,0.087625059991878,0.0121645069590579,0.0841634121725394
"388","Caroline County",51,2824,51033,6425,7143,14189,0.452815561350342,0.503418140813306,718,-0.0506025794629643,"VA",51033,13590,7258,6148,33,0.534069168506255,0.452391464311994,1110,0.0816777041942605,995,0.0510266765013119,0.132280283657225,390,8737,0.0620422231796639,0.479264893141068,0.250542038063117,864,2461,18528,27432,24525,"Virginia",4039,8463,1585,1096,0.637643252916681,39.1,6689,33,3815,0.131293664177307,0.814410887397465,18627,1742,29057,0.0545479574629177,0.290033031739193,0,483,0.0377189661699418,1389,10728,129,13926,2478,0.00926324859974149,7280,"Caroline County, Virginia",0.291255119248374,0.641050349313418,0.844030698282686,0.0765736311387962,0.0612244897959184,0.0852806552637919,0.0846955983067763,1951,555,0.266772015515012,1954,7428,33,8129,27844,0.291947995977589,"Virginia",18858,222,4100,38.7,10270,0.0349806062347364,2915,23539,974,17728,1296,0.104690418043385,"Caroline County, Virginia",8517,28799,0.829308666017527,346,607,0.636690130728344,2186,0,0.677273380261457,0.845388593592875,0.0824953311305847,0.0664775175980463,0.078508834937509,0.0701766987501796,0.0435641430828904,-0.0474669259349283
